id,value
USD,"ABŞ Dolları"
USS,"ABŞ dolları (həmin gün)"
USN,"ABŞ dolları (yeni gün)"
ALL,"Albaniya Leki"
ALK,"Albaniya Leki (1946–1965)"
DEM,"Alman Markası"
ADP,"Andora Pesetası"
AOA,"Anqola Kvanzası"
AOR,"Anqola Kvanzası (1995–1999)"
AOK,"Anqola Kvanzasi (1977–1990)"
AON,"Anqola Yeni Kvanzası (1990–2000)"
ARA,"Argentina avstralı"
ARS,"Argentina Pesosu"
ARP,"Argentina pesosu (1983–1985)"
ARM,"Argentine Peso (1881–1970)"
ARL,"Argentine Peso Ley (1970–1983)"
AWG,"Aruba Florini"
EUR,Avro
AUD,"Avstraliya Dolları"
ATS,"Avstriya Şillinqi"
AZN,"Azərbaycan Manatı"
AZM,"Azərbaycan Manatı (1993–2006)"
BSD,"Bahama Dolları"
BDT,"Banqladeş Takası"
BBD,"Barbados Dolları"
BYR,"Belarus Rublu"
BYB,"Belarus Yeni Rublu (1994–1999)"
BEF,"Belçika Frankı"
BEC,"Belçika Frankı (deyşirik)"
BEL,"Belçika Frankı (finans)"
BZD,"Beliz Dolları"
BMD,"Bermuda Dolları"
BHD,"Bəhreyn Dinarı"
AED,"Birləşmiş Ərəb Əmirlikləri Dirhəmi"
BOL,"Bolivian Boliviano (1863–1963)"
BOB,"Boliviya Bolivianosu"
BOV,"Boliviya mvdolı"
BOP,"Boliviya pesosu"
BGL,"Bolqarıstan Levası"
BGN,"Bolqarıstan Levi"
BAN,"Bosnia-Herzegovina New Dinar (1994–1997)"
BAD,"Bosniya-Herseqovina Dinarı"
BAM,"Bosniya-Herseqovina Markası"
BWP,"Botsvana Pulası"
BRZ,"Brazilian Cruzeiro (1942–1967)"
BRN,"Braziliya kruzado novası"
BRC,"Braziliya kruzadosu"
BRB,"Braziliya kruzeyro novası"
BRR,"Braziliya kruzeyrosu"
BRE,"Braziliya kruzeyrosu (1990–1993)"
BRL,"Braziliya Realı"
GBP,"Britaniya Funt Sterlinqi"
BND,"Bruney Dolları"
BGO,"Bulgarian Lev (1879–1952)"
BGM,"Bulgarian Socialist Lev"
BUK,"Burmis Kyatı"
BIF,"Burundi Frankı"
BTN,"Butan Nqultrumu"
ZAR,"Cənubi Afrika Randı"
ZAL,"Cənubi Afrika Randı (finans)"
KRW,"Cənubi Koreya Vonu"
SSP,"Cənubi Sudan Funtu"
CLE,"Chilean Escudo"
CLF,"Chilean Unit of Account (UF)"
CNX,"Chinese People’s Bank Dollar"
DJF,"Cibuti Frankı"
COU,"Colombian Real Value Unit"
CZK,"Çexiya Korunası"
CSK,"Çexoslavakiya Korunası"
CLP,"Çili Pesosu"
CNY,"Çin Yuanı"
DKK,"Danimarka Kronu"
DOP,"Dominika Pesosu"
ECV,"Ecuadorian Unit of Constant Value"
ETB,"Efiopiya Bırrı"
ECS,"Ekvador Sukresi"
GQE,"Ekvatoriya Gvineya Ekvele Quneanası"
SVC,"El Salvador kolonu"
ERN,"Eritreya Nakfası"
AMD,"Ermənistan Dramı"
EEK,"Estoniya Krunu"
XEU,"European Currency Unit"
AFN,"Əfqanıstan Əfqanisi"
AFA,"Əfqanıstan Əfqanisi (1927–2002)"
DZD,"Əlcəzair Dinarı"
FJD,"Fici Dolları"
XOF,"Fil Dişi Sahili Frankı"
PHP,"Filippin Pesosu"
FIM,"Fin Markası"
FKP,"Folklend Adaları Funtu"
XFO,"Fransız Gızıl Frankı"
FRF,"Fransız Markası"
XPF,"Fransız Polineziyası Frankı"
XFU,"Fransız UİC Frankı"
GIP,"Gibraltar Funtu"
GEK,"Gürcüstan Kupon Lariti"
GEL,"Gürcüstan Larisi"
HTG,"Haiti Qourdu"
INR,"Hindistan Rupisi"
NLG,"Hollandiya Gilderi"
HNL,"Honduras Lempirası"
HKD,"Honq Konq Dolları"
HRD,"Xorvatiya Dinarı"
HRK,"Xorvatiya Kunası"
IDR,"İndoneziya Rupisi"
JOD,"İordaniya Dinarı"
IQD,"İraq Dinarı"
IRR,"İran Rialı"
IEP,"İrlandiya Paundu"
ISK,"İslandiya Kronu"
ISJ,"İslandiya Kronu (1918–1981)"
ESP,"İspan Pesetası"
ESA,"İspan Pesetası (A account)"
ESB,"İspan Pesetası (dəyşirik)"
ILR,"İsrail Şekeli (1980–1985)"
ILS,"İsrail Yeni Şekeli"
SEK,"İsveç Kronu"
CHF,"İsveçrə Frankı"
ITL,"İtaliya Lirası"
ILP,"İzrail Paundu"
KHR,"Kamboca Rieli"
XAF,"Kamerun Frankı"
CAD,"Kanada Dolları"
CVE,"Kape Verde Eskudosu"
KYD,"Kayman Adaları Dolları"
KES,"Keniya Şillinqi"
KGS,"Kırğızıstan Somu"
CYP,"Kipr Paundu"
COP,"Kolumbiya Pesosu"
KMF,"Komor Frankı"
CDF,"Konqo Frankı"
CRC,"Kosta Rika Kolonu"
CUC,"Kuba Çevrilən Pesosu"
CUP,"Kuba Pesosu"
KWD,"Küveyt Dinarı"
GMD,"Qambiya Dalasisi"
GHS,"Qana Sedisi"
GHC,"Qana Sedisi (1979–2007)"
QAR,"Qatar Rialı"
GYD,"Qayana Dolları"
KZT,"Qazaxıstan Tengesi"
GTQ,"Qvatemala Küetzalı"
GNF,"Qvineya Frankı"
GNS,"Qvineya Sulisi"
GWP,"Qvineya-Bisau Pesosu"
LAK,"Laos Kipi"
LVL,"Latviya Latı"
