id,value
MGA,"Αριάρι Μαδαγασκάρης"
MXP,"Ασημένιο Πέσο Μεξικού (1861–1992)"
AFN,"Αφγάνι Αφγανιστάν"
AFA,"Αφγανί Αφγανιστάν (1927–2002)"
VUV,"Βατού Βανουάτου"
JPY,"Γιεν Ιαπωνίας"
NLG,"Γκίλντα Ολλανδίας"
ANG,"Γκίλντα Ολλανδικών Αντιλλών"
SRG,"Γκίλντα Σουρινάμ"
GWE,"Γκινέα Εσκούδο Πορτογαλίας"
PYG,"Γκουαρανί Παραγουάης"
HTG,"Γκουρντ Αϊτής"
CNY,"Γουάν Κίνας"
KPW,"Γουόν Βόρειας Κορέας"
KRW,"Γουόν Νότιας Κορέας"
UAH,"Γρίβνα Ουκρανίας"
DZD,"Δηνάριο Αλγερίας"
BAD,"Δηνάριο Βοσνίας-Ερζεγοβίνης"
JOD,"Δηνάριο Ιορδανίας"
IQD,"Δηνάριο Ιράκ"
KWD,"Δηνάριο Κουβέιτ"
HRD,"Δηνάριο Κροατίας"
LYD,"Δηνάριο Λιβύης"
BHD,"Δηνάριο Μπαχρέιν"
MKD,"Δηνάριο Π.Γ.Δ.Μ."
RSD,"Δηνάριο Σερβίας"
SDD,"Δηνάριο Σουδάν"
TND,"Δηνάριο Τυνησίας"
YDD,"Δηνάριο Υεμένης"
XCD,"Δολάριο Ανατολικής Καραϊβικής"
AUD,"Δολάριο Αυστραλίας"
BMD,"Δολάριο Βερμούδων"
GYD,"Δολάριο Γουιάνας"
ZWD,"Δολάριο Ζιμπάμπουε"
ZWL,"Δολάριο Ζιμπάμπουε (2009)"
USD,"Δολάριο ΗΠΑ"
USN,"Δολάριο ΗΠΑ (επόμενη ημέρα)"
USS,"Δολάριο ΗΠΑ (ίδια ημέρα)"
CAD,"Δολάριο Καναδά"
LRD,"Δολάριο Λιβερίας"
BBD,"Δολάριο Μπαρμπάντος"
BSD,"Δολάριο Μπαχάμες"
BZD,"Δολάριο Μπελίζ"
BND,"Δολάριο Μπρουνέι"
NAD,"Δολάριο Ναμίμπια"
NZD,"Δολάριο Νέας Ζηλανδίας"
KYD,"Δολάριο Νήσων Κάιμαν"
SBD,"Δολάριο Νήσων Σολομώντος"
RHD,"Δολάριο Ροδεσίας"
SGD,"Δολάριο Σιγκαπούρης"
SRD,"Δολάριο Σουρινάμ"
JMD,"Δολάριο Τζαμάικας"
TTD,"Δολάριο Τρινιντάντ και Τομπάγκο"
FJD,"Δολάριο Φίτζι"
HKD,"Δολάριο Χονγκ Κονγκ"
GRD,"Δραχμή Ελλάδας"
GQE,"Εκγουέλε Ισημερινής Γουινέας"
MZE,"Εσκούδο Μοζαμβίκης"
PTE,"Εσκούδο Πορτογαλίας"
CVE,"Εσκούδο Πράσινου Ακρωτηρίου"
TPE,"Εσκούδο Τιμόρ"
EUR,Ευρώ
CHE,"Ευρώ WIR"
XEU,"Ευρωπαϊκή Συναλλαγματική Μονάδα"
ZRZ,"Ζαΐρ Ζαΐρ"
PLN,"Ζλότι Πολωνίας"
PLZ,"Ζλότυ Πολωνίας (1950–1995)"
PEI,"Ίντι Περού"
UAK,"Καρμποβανέτς Ουκρανίας"
BUK,"Κιατ Βιρμανίας"
PGK,"Κίνα Παπούα Νέα Γουινέα"
LAK,"Κιπ Λάος"
SVC,"Κολόν Ελ Σαλβαδόρ"
CRC,"Κολόν Κόστα Ρίκα"
NIC,"Κόρδοβα Νικαράγουας"
DKK,"Κορόνα Δανίας"
EEK,"Κορόνα Εσθονίας"
ISK,"Κορόνα Ισλανδίας"
NOK,"Κορόνα Νορβηγίας"
SKK,"Κορόνα Σλοβενίας"
SEK,"Κορόνα Σουηδίας"
CZK,"Κορόνα Τσεχίας"
AOA,"Κουάνζα Ανγκόλας"
AOK,"Κουάνζα Ανγκόλας (1977–1990)"
ZMK,"Κουάνζα Ζαΐρ (1968–2012)"
ZMW,"Κουάτσα Ζάμπιας"
MWK,"Κουάτσα Μαλάουι"
GTQ,"Κουετσάλ Γουατεμάλας"
HRK,"Κούνα Κροατίας"
GEK,"Κούπον Λάρι Γεωργίας"
BRC,"Κρουζάντο Βραζιλίας"
BRR,"Κρουζιέρο Βραζιλίας"
BRE,"Κρουζιέρο Βραζιλίας (1990–1993)"
MMK,"Κυάτ Μιανμάρ"
GEL,"Λάρι Γεωργίας"
LVL,"Λατς Λετονίας"
BGN,"Λεβ Βουλγαρίας"
ROL,"Λέι Ρουμανίας"
ALL,"Λεκ Αλβανίας"
HNL,"Λεμπίρα Ονδούρας"
SLL,"Λεόνε Σιέρα Λεόνε"
MDL,"Λέου Μολδαβίας"
RON,"Λέου Ρουμανίας"
SZL,"Λιλανγκένι Σουαζιλάνδης"
SHP,"Λίρα Αγίας Ελένης"
EGP,"Λίρα Αιγύπτου"
GIP,"Λίρα Γιβραλτάρ"
IEP,"Λίρα Ιρλανδίας"
ILP,"Λίρα Ισραήλ"
CYP,"Λίρα Κύπρου"
LBP,"Λίρα Λιβάνου"
MTP,"Λίρα Μάλτας"
FKP,"Λίρα Νησιών Φώκλαντ"
SSP,"Λίρα Νότιου Σουδάν"
SDG,"Λίρα Σουδάν"
GBP,"Λίρα Στερλίνα Βρετανίας"
SYP,"Λίρα Συρίας"
ITL,"Λιρέτα Ιταλίας"
MTL,"Λιρέτα Μάλτας"
