id,value
AFN,Afgani
AFA,"Afghan Afghani (1927–2002)"
ALK,"Albanian Lek (1946–1965)"
ALL,"Albanskt lek"
DZD,"Alsírskur denari"
ADP,"Andorrskur peseti"
AOK,"Angolan Kwanza (1977–1991)"
AON,"Angolan New Kwanza (1990–2000)"
AOR,"Angolan Readjusted Kwanza (1995–1999)"
AOA,"Angólsk kvansa"
AED,"Arabískt dírham"
ARA,"Argentine Austral"
ARM,"Argentine Peso (1881–1970)"
ARL,"Argentine Peso Ley (1970–1983)"
ARS,"Argentínskur pesi"
ARP,"Argentískur pesi (1983–1985)"
AMD,"Armenskt dramm"
AWG,"Arúbönsk flórína"
AZN,"Aserskt manat"
XCD,"Austurkarabískur dalur"
ATS,"Austurrískur skildingur"
DDM,"Austurþýskt mark"
AZM,"Azerbaijani Manat (1993–2006)"
AUD,"Ástralskur dalur"
BSD,Bahamadalur
PAB,Balbói
USD,Bandaríkjadalur
USN,"Bandaríkjadalur (næsta dag)"
USS,"Bandaríkjadalur (sama dag)"
BDT,"Bangladessk taka"
BBD,"Barbadoskur dalur"
BHD,"Bareinskur denari"
BYB,"Belarusian New Ruble (1994–1999)"
BEC,"Belgian Franc (convertible)"
BEL,"Belgian Franc (financial)"
BEF,"Belgískur franki"
BZD,"Belískur dalur"
BMD,Bermúdadalur
BOL,"Bolivian Boliviano (1863–1963)"
BOV,"Bolivian Mvdol"
VEB,"Bolívar í Venesúela (1871–2008)"
BAD,"Bosnia-Herzegovina Dinar (1992–1994)"
BAN,"Bosnia-Herzegovina New Dinar (1994–1997)"
BWP,"Botsvönsk púla"
BOB,Bólivíani
BOP,"Bólivískur pesi"
BRL,"Brasilískt ríal"
BRC,"Brazilian Cruzado (1986–1989)"
BRZ,"Brazilian Cruzeiro (1942–1967)"
BRE,"Brazilian Cruzeiro (1990–1993)"
BRR,"Brazilian Cruzeiro (1993–1994)"
BRN,"Brazilian New Cruzado (1989–1990)"
BRB,"Brazilian New Cruzeiro (1967–1986)"
BND,"Brúneiskur dalur"
BGO,"Bulgarian Lev (1879–1952)"
BGM,"Bulgarian Socialist Lev"
BGN,"Búlgarskt lef"
BUK,"Búrmverskt kjat"
BIF,"Búrúndískur franki"
BTN,"Bútanskt núltrum"
KYD,"Caymaneyskur dalur"
CLE,"Chilean Escudo"
CLF,"Chilean Unidades de Fomento"
CNX,"Chinese People’s Bank Dollar"
COU,"Colombian Real Value Unit"
HRD,"Croatian Dinar"
DJF,"Djíbútískur franki"
DOP,"Dóminískur pesi"
GRD,Drakma
DKK,"Dönsk króna"
ECS,"Ecuador Sucre"
ECV,"Ecuadorian Unit of Constant Value"
EGP,"Egypskt pund"
EEK,"Eistnesk króna"
SVC,"El Salvador Colon"
GQE,"Equatorial Guinean Ekwele"
ERN,"Erítresk nakfa"
XEU,"European Currency Unit"
EUR,Evra
ETB,"Eþíópískt birr"
FKP,"Falklenskt pund"
PHP,"Filippseyskur pesi"
FIM,"Finnskt mark"
FJD,"Fídjeyskur dalur"
FRF,"Franskur franki"
XFU,"Franskur franki, UIC"
XFO,"Franskur gullfranki"
GMD,"Gambískur dalasi"
GHS,"Ganverskur sedi"
GEK,"Georgian Kupon Larit"
GEL,"Georgískur lari"
GHC,"Ghanaian Cedi (1979–2007)"
GIP,Gíbraltarspund
GNF,Gíneufranki
CVE,"Grænhöfðeyskur skúti"
GWP,"Guinea-Bissau Peso"
GNS,"Guinean Syli"
GTQ,"Gvatemalskt kvesal"
GYD,"Gvæjanskur dalur"
HTG,"Haítískur gúrdi"
SHP,"Helenskt pund"
ANG,"Hollenskt Antillugyllini"
NLG,"Hollenskt gyllini"
HNL,"Hondúrsk lempíra"
HKD,"Hong Kong-dalur"
BYR,"Hvítrússnesk rúbla"
ISJ,"Icelandic Króna (1918–1981)"
IDR,"Indónesísk rúpía"
INR,"Indversk rúpía"
ILR,"Israeli Sheqel (1980–1985)"
IQD,"Írakskur denari"
IRR,"Íranskt ríal"
IEP,"Írskt pund"
ISK,"Íslensk króna"
ILP,"Ísraelskt pund"
ITL,"Ítölsk líra"
JMD,"Jamaískur dalur"
JPY,"Japanskt jen"
YER,"Jemenskt ríal"
YDD,"Jemenskur denari"
JOD,"Jórdanskur denari"
YUM,"Júgóslavneskur denari"
KHR,"Kambódískt ríal"
CAD,"Kanadískur dalur"
KZT,"Kasakst tengi"
QAR,"Katarskt ríal"
KES,"Kenískur skildingur"
KGS,"Kirgiskt som"
CNY,"Kínverskt júan"
CDF,"Kongóskur franki"
