id,value
AFA,"afgani (1927–2002)"
AFN,afghani
ALK,"Albanian Lek (1946–1965)"
CSD,"antico dinaro serbo"
ARM,"Argentine Peso (1881–1970)"
ARL,"Argentine Peso Ley (1970–1983)"
MGA,"ariary malgascio"
ARA,"austral argentino"
THB,"baht thailandese"
PAB,"balboa di Panama"
ETB,"birr etiopico"
VEF,"bolívar venezuelano"
VEB,"bolivar venezuelano (1871–2008)"
BOL,"Bolivian Boliviano (1863–1963)"
BOB,boliviano
BAN,"Bosnia-Herzegovina New Dinar (1994–1997)"
BRZ,"Brazilian Cruzeiro (1942–1967)"
BGO,"Bulgarian Lev (1879–1952)"
BGM,"Bulgarian Socialist Lev"
GHC,"cedi del Ghana"
GHS,"cedi ghanese"
CLE,"Chilean Escudo"
CNX,"Chinese People’s Bank Dollar"
COU,"Colombian Real Value Unit"
CRC,"colón costaricano"
SVC,"colón salvadoregno"
NIC,"cordoba nicaraguense"
NIO,"córdoba nicaraguense"
CZK,"corona ceca"
DKK,"corona danese"
EEK,"corona dell’Estonia"
CSK,"corona forte cecoslovacca"
ISK,"corona islandese"
NOK,"corona norvegese"
SKK,"corona slovacca"
SEK,"corona svedese"
BRC,"cruzado brasiliano"
BRN,"cruzado novo brasiliano"
BRR,"cruzeiro brasiliano"
BRE,"cruzeiro brasiliano (1990–1993)"
BRB,"cruzeiro novo brasiliano (1967–1986)"
GMD,"dalasi del Gambia"
BAD,"dinar Bosnia-Herzegovina"
DZD,"dinaro algerino"
YUN,"dinaro convertibile yugoslavo"
HRD,"dinaro croato"
BHD,"dinaro del Bahrein"
YDD,"dinaro dello Yemen"
YUD,"dinaro forte yugoslavo"
JOD,"dinaro giordano"
IQD,"dinaro iracheno"
KWD,"dinaro kuwaitiano"
LYD,"dinaro libico"
MKD,"dinaro macedone"
YUM,"dinaro noviy yugoslavo"
RSD,"dinaro serbo"
SDD,"dinaro sudanese"
TND,"dinaro tunisino"
AED,"dirham degli Emirati Arabi Uniti"
MAD,"dirham marocchino"
STD,"dobra di Sao Tomé e Principe"
AUD,"dollaro australiano"
CAD,"dollaro canadese"
XCD,"dollaro dei Caraibi Orientali"
BZD,"dollaro del Belize"
BND,"dollaro del Brunei"
GYD,"dollaro della Guyana"
RHD,"dollaro della Rhodesia"
BSD,"dollaro delle Bahamas"
BMD,"dollaro delle Bermuda"
FJD,"dollaro delle Figi"
KYD,"dollaro delle Isole Cayman"
SBD,"dollaro delle Isole Solomon"
ZWD,"dollaro dello Zimbabwe"
BBD,"dollaro di Barbados"
HKD,"dollaro di Hong Kong"
SGD,"dollaro di Singapore"
TTD,"dollaro di Trinidad e Tobago"
JMD,"dollaro giamaicano"
LRD,"dollaro liberiano"
NAD,"dollaro namibiano"
NZD,"dollaro neozelandese"
USD,"dollaro statunitense"
USN,"dollaro statunitense (next day)"
USS,"dollaro statunitense (same day)"
SRD,"dollaro surinamese"
ZWL,"dollaro zimbabwiano (2009)"
VND,"dong vietnamita"
GRD,"dracma greca"
AMD,"dram armeno"
GQE,"ekwele della Guinea Equatoriale"
CVE,"escudo del Capo Verde"
MZE,"escudo del Mozambico"
GWE,"escudo della Guinea portoghese"
TPE,"escudo di Timor"
PTE,"escudo portoghese"
EUR,euro
XEU,"European Currency Unit"
SRG,"fiorino del Suriname"
ANG,"fiorino delle Antille Olandesi"
AWG,"fiorino di Aruba"
NLG,"fiorino olandese"
HUF,"fiorino ungherese"
XRE,"fondi RINET"
BEF,"franco belga"
BEC,"franco belga (convertibile)"
BEL,"franco belga (finanziario)"
XOF,"franco CFA BCEAO"
XAF,"franco CFA BEAC"
