id,value
AUD,"Австралия доллары"
AZN,"Азербайжан манаты"
USD,"АКШ доллары"
ALL,"албан леги"
DZD,"Алжир динары"
AOA,"Ангола кванзасы"
ARS,"аргентина песосу"
AMD,"Армения драмы"
AWG,"аруба флорини"
AFN,"Афганстан афганиси"
BSD,"багама доллары"
BDT,"Бангладеш такасы"
BBD,"барбадос доллары"
BHD,"Бахрейн динары"
BYR,"беларусь рублу"
BZD,"белиз доллары"
BMD,"бермуд доллары"
AED,"Бириккен Араб Эмираттары дирхамы"
BGN,"болгар левиси"
BOB,"боливия боливианосу"
BAM,"босния-герцоговина жүгүртөлмөлүү маркасы"
BWP,"Ботсвана пуласы"
BRL,"бразилия реалы"
GBP,"британия фунт стерлинги"
BND,"Бруней доллары"
BIF,"Бурунди франкы"
BTN,"Бутан нгултруму"
VUV,"Вануату ватусу"
HUF,"венгр форинти"
VEF,"венесуэла боливары"
VND,"Вьетнам доӊу"
HTG,"гаити гурдусу"
GMD,"Гамбия даласиси"
GHS,"Гана седиси"
GTQ,"гватемала кетсалы"
GIP,"гибралтар фунту"
GNF,"Гине франкы"
HNL,"гондурас лемпирасы"
HKD,"Гоӊ Коӊ доллары"
GEL,"Грузия лариси"
GYD,"гуйана доллары"
DKK,"дания крону"
DOP,"доминикан песосу"
EUR,Евро
NZD,"Жаӊы Зеландия доллары"
JPY,"Жапан йени"
DJF,"Жибути франкы"
ZMW,"Замбия квачасы"
ILS,"Израил жаӊы шегели"
INR,"Индия руписи"
IDR,"Индонезия рупийасы"
IQD,"Ирак динары"
IRR,"Иран риалы"
ISK,"исландия крону"
YER,"Йемен риалы"
JOD,"Йордания динары"
CVE,"Кабо-Верде эскудосу"
KZT,"Казакстан теӊгеси"
KYD,"кайман доллары"
KHR,"Камбожа риели"
CAD,"канада доллары"
QAR,"Катар риалы"
KES,"Кения шиллинги"
COP,"колумбия песосу"
KMF,"Коморос франкы"
CDF,"Конго франкы"
CRC,"коста-рика колону"
CUC,"куба жүгүртүлмөлүү песосу"
CUP,"куба песосу"
KWD,"Кувейт динары"
XAF,"КФА ВЕАС франкы"
XOF,"КФА ВСЕАО франкы"
XPF,"КФП франкы"
KGS,"Кыргызстан сому"
CNY,"Кытай юаны"
LAK,"Лаос киби"
LVL,"латвия латы"
LRD,"Либерия доллары"
LBP,"Ливан фунту"
LYD,"Ливия динары"
LTL,"литва литасы"
MUR,"Мавританий руписи"
MRO,"Мавритания угиясы"
MGA,"Мадагаскар ариариси"
MOP,"Макау патакасы"
MKD,"македон денары"
MWK,"Малави квачасы"
MYR,"Малайзия ринггити"
MVR,"Малдив Руфийасы"
MAD,"Марокко дирхамы"
MXN,"мексика песосу"
EGP,"Мисир фунту"
MMK,"Мйанмар кйаты"
MZN,"Мозамбик метикалы"
MDL,"молдован лейи"
MNT,"Монгол тугриги"
NAD,"Намибия доллары"
NPR,"Непал руписи"
NGN,"Нигерия найрасы"
ANG,"нидерланд-антил гулдени"
NIO,"никарагуа кордобасы"
NOK,"норвегия крону"
OMR,"Оман риалы"
RUB,"орус рублу"
UZS,"Өзбекстан сому"
PKR,"Пакистан руписи"
PAB,"панама балбоасы"
PGK,"Папуа Жаӊы Гине кинасы"
PYG,"парагвай гуараниси"
PEN,"перу нуэво солу"
PLN,"польша злотыйы"
RWF,"Руанда франкы"
RON,"румын лейи"
WST,"Самоа таласы"
STD,"Сао Томе жана Принсипе добрасы"
SAR,"Сауд риалы"
SZL,"Свази лилангени"
SCR,"Сейшел руписи"
RSD,"серб динары"
SLL,"Сиерра-Леоне леонеси"
SGD,"Сингапур доллары"
SYP,"Сирия фунту"
SBD,"Соломон доллары"
SOS,"Сомали шиллинги"
SDG,"Судан фунту"
SRD,"суринам доллары"
TJS,"Тажикстан сомониси"
THB,"Тай баты"
TWD,"Тайвань жаӊы доллары"
TZS,"Танзания шиллинги"
TOP,"Тонга паангасы"
TTD,"тринидад жана тобаго доллары"
TND,"Тунис динары"
KPW,"Түндүк Корея уону"
TRY,"Түркия лирасы"
TMT,"Түркмөнстан манаты"
ZAR,"Түштүк Африка ранды"
KRW,"Түштүк Корея уону"
SSP,"Түштүк Судан фунту"
UGX,"Уганда шиллинги"
UAH,"украин гривени"
UYU,"уругвай песосу"
FJD,"Фижи доллары"
PHP,"Филиппин песосу"
FKP,"фолкленд аралдарынын фунту"
HRK,"хорват кунасы"
CZK,"чех кронасы"
CLP,"чили песосу"
XCD,"чыгыш кариб доллары"
CHF,"швейцария франкы"
SEK,"швеция крону"
LKR,"Шри Ланка руписи"
SHP,"Ыйык Елена фунту"
ERN,"Эритреа накфасы"
ETB,"Эфиопия бирри"
JMD,"ямайка доллары"
AFA,"Afghan Afghani (1927–2002)"
ALK,"Albanian Lek (1946–1965)"
ADP,"Andorran Peseta"
AOK,"Angolan Kwanza (1977–1991)"
AON,"Angolan New Kwanza (1990–2000)"
AOR,"Angolan Readjusted Kwanza (1995–1999)"
ARA,"Argentine Austral"
ARM,"Argentine Peso (1881–1970)"
ARP,"Argentine Peso (1983–1985)"
ARL,"Argentine Peso Ley (1970–1983)"
ATS,"Austrian Schilling"
AZM,"Azerbaijani Manat (1993–2006)"
BYB,"Belarusian New Ruble (1994–1999)"
BEF,"Belgian Franc"
BEC,"Belgian Franc (convertible)"
BEL,"Belgian Franc (financial)"
BOL,"Bolivian Boliviano (1863–1963)"
BOV,"Bolivian Mvdol"
BOP,"Bolivian Peso"
BAD,"Bosnia-Herzegovina Dinar (1992–1994)"
BAN,"Bosnia-Herzegovina New Dinar (1994–1997)"
BRC,"Brazilian Cruzado (1986–1989)"
BRZ,"Brazilian Cruzeiro (1942–1967)"
BRE,"Brazilian Cruzeiro (1990–1993)"
BRR,"Brazilian Cruzeiro (1993–1994)"
BRN,"Brazilian New Cruzado (1989–1990)"
BRB,"Brazilian New Cruzeiro (1967–1986)"
BGL,"Bulgarian Hard Lev"
BGO,"Bulgarian Lev (1879–1952)"
BGM,"Bulgarian Socialist Lev"
BUK,"Burmese Kyat"
CLE,"Chilean Escudo"
CLF,"Chilean Unit of Account (UF)"
CNX,"Chinese People’s Bank Dollar"
COU,"Colombian Real Value Unit"
HRD,"Croatian Dinar"
CYP,"Cypriot Pound"
CSK,"Czechoslovak Hard Koruna"
NLG,"Dutch Guilder"
DDM,"East German Mark"
ECS,"Ecuadorian Sucre"
ECV,"Ecuadorian Unit of Constant Value"
GQE,"Equatorial Guinean Ekwele"
EEK,"Estonian Kroon"
XEU,"European Currency Unit"
FIM,"Finnish Markka"
FRF,"French Franc"
XFO,"French Gold Franc"
XFU,"French UIC-Franc"
GEK,"Georgian Kupon Larit"
DEM,"German Mark"
GHC,"Ghanaian Cedi (1979–2007)"
GRD,"Greek Drachma"
GWP,"Guinea-Bissau Peso"
GNS,"Guinean Syli"
ISJ,"Icelandic Króna (1918–1981)"
IEP,"Irish Pound"
ILP,"Israeli Pound"
