id,value
CAD,"ကနေဒါ ဒေါ်လာ"
QAR,ကာတာရီအော်လ်
KWD,ကူဝိတ်ဒီနာ
KYD,"ကေမန် ကျွန်းစု ဒေါ်လာ"
CRC,"ကော့စ်တာရီကာ ခိုလုံး"
KMF,"ကိုမိုရိုစ် ဖရန့်"
COP,"ကိုလံဘီယာ ပီဆို"
KES,ကင်ညာသျှီလင်
XAF,ကင်မရွန်းဖရန့်
KHR,"ကမ္ဘောဒီးယား ရီးယဲ"
CUP,"ကျူးဘား ပီဆို"
CDF,"ကွန်ဂို ဖရန့်"
KGS,ခရူဂစ်စတန်ဆော်မ်
KZT,ခရူဂစ်စတန်ထိန်ဂျီ
HRK,ခရိုအေးရှားခူးနာ
CVE,"ခေ့ပ်ဗာဒူ အက်စ်ခူဒို"
CLP,"ချီလီ ပီဆို"
CZK,ချက်ခိုရိုနာ
GHS,"ဂါနာ ဆဲဒီ"
GNF,"ဂီးနီ ဖရန့်"
GYD,"ဂူရာနာ ဒေါ်လာ"
GMD,"ဂန်ဘီယာ ဒါလာစီ"
JPY,ဂျပန်ယန်း
JMD,"ဂျမေကာ ဒေါ်လာ"
DEM,"ဂျာမဏီ မတ်"
GIP,"ဂျီဘရော်လ်တာ ပေါင်"
DJF,"ဂျီဘူတီ ဖရန့်"
GEL,ဂျော်ဂျီယာလားရီ
JOD,ဂျော်ဒန်ဒီနား
GTQ,"ဂွာတီမာလာ ခက်ဇော်လ်"
ESP,"စပိန် ပယ်စေးတာ"
WST,စမိုအထားလာ
STD,"စိန့်တိုမီနှင့်ပရင်စီပ့် ဒိုဘရာ"
SHP,"စိန့်ဟဲလီနာ ပေါင်"
SGD,"စင်္ကာပူ ဒေါ်လာ"
SZL,စွာဇီလန်လီလန်းဂီနီ
RSD,ဆားဘီးယားဒယ်နား
SLL,"ဆီအဲရာ လီအိုနီယန် လီအိုနီ"
SYP,"ဆီးရီးယား ပေါင်"
SDG,"ဆူဒန် ပေါင်"
SDP,"ဆူဒန် ပေါင်အဟောင်း"
SRD,"ဆူရီနိမ်း ဒေါ်လာ"
SCR,ဆေးရှလ်ရူးပီး
SAR,ဆော်ဒီအာရေးဗီးယားရီယော်လ်
SBD,"ဆော်လမွန်ကျွန်းစု ဒေါ်လာ"
SUR,"ဆိုဗီယက် ရူဗယ်"
SOS,ဆိုမာလီသျှီလင်
CYP,"ဆိုက်ပရက်စ် ပေါင်"
SEK,"ဆွီဒင် ခရိုဏာ"
CHF,"ဆွစ် ဖရန့်"
ZWD,"ဇင်ဘာဘွေ ဒေါ်လာ"
ZMW,ဇင်ဘာဘွေခွါးချာ
CNY,"တရုတ် ယွမ်"
TJS,တာဂျီကစ္စတန်ဆိုမိုနီ
TND,တူနီရှားဒီနာ
TRY,"တူရကီ လိုင်ရာ"
TMT,တာခ်မီန့စ်တန်မာနတ်
KRW,"တောင်ကိုးရီးယား ဝမ်"
SSP,တောင်ဆူဒန်ပေါင်
ZAR,"တောင်အဖရိက ရန်း"
TZS,တန်ဇန်းနီးယားသျှီလင်
TOP,တွန်ဂါဗန်ဂါ
TTD,ထရိုင်နီဒတ်နှင့်တိုဘာဂိုဒေါ်လာ
TWD,"ထိုင်ဝမ် ဒေါ်လာအသစ်"
THB,ထိုင်းဘတ်
DOP,"ဒိုမီနီကန် ပီဆို"
DKK,ဒိန်းမတ်ခရိုဏာ
NZD,"နယူးဇီလန် ဒေါ်လာ"
NIO,"နီကာရာဂွာ ခိုးဒိုဘာ"
NPR,"နီပေါ ရူပီး"
NOK,"နော်ဝေ ခရိုဏာ"
NGN,နိုင်ဂျီးရီးယားနိုင်းရာ
CUC,"နိုင်ငံခြားငွေလဲလှယ်နိုင်သော ကျူးဘားပီဆိုငွေ"
NAD,"နမ်မီးဘီးယား ဒေါ်လာ"
ANG,"နယ်သာလန် အန်တီလန် ဂင်းဒါး"
PAB,"ပနားမား ဘလ်ဘိုးအာ"
PKR,"ပါကစ္စတန် ရူပီး"
PGK,ပါပူရာနယူးဂီနီခီးနာ
PYG,ပါရာဂွေးဂွါးအ်နီး
PEN,"ပီရူး နူအီဗိုဆိုးလ်"
PLN,"ပိုလန် ဇ‌လော့တီ"
FRF,"ပြင်သစ် ဖရန့်"
PHP,"ဖိလစ်ပိုင် ပီဆို"
FJD,"ဖီဂျီ ဒေါ်လာ"
FKP,"ဖောက်ကလန် ကျွန်းစု ပေါင်"
BUK,"ဗမာ ကျပ်"
VUV,ဗာနုအာတူဗားထူ
VND,"ဗီယက်နမ် ဒေါင်"
VEF,"ဗင်နီဇွဲလား ဘိုလီဗာ"
GBP,"ဗြိတိသျှ ပေါင်"
BRL,"ဘရာဇီး ရီးယဲ"
BND,"ဘရူနိုင်း ဒေါ်လာ"
BSD,"ဘဟားမား ဒေါ်လာ"
BBD,ဘာဘဒီယံဒေါ်လာ
BMD,"ဘာမူဒါ ဒေါ်လာ"
BHD,ဘာရိန်းဒီနား
BYR,"ဘီလာရုစ် ရူဘယ်"
BYB,"ဘီလာရုစ် ရူဘယ်အသစ် (၁၉၉၄–၁၉၉၉)"
BGN,ဘူဂေးရီးယားလက်ဖ်
BTN,ဘူတန်အံဂါလ်ထရန်
BIF,"ဘူရွန်ဒီ ဖရန့်"
BZD,"ဘေလီဇ် ဒေါ်လာ"
BAM,"ဘော့စနီးယား နှင့် ဟာဇီဂိုဘီးနားမတ်က်"
BWP,"ဘော့စ်ဝါနာ ပုလ"
BOB,"ဘိုလီဘီယံ ဘိုလီဘီအားနို"
BOP,"ဘိုလီးဘီးယား ပီဆို"
BDT,"ဘင်္ဂလားဒေ့ရှ် တာကာ"
BEF,"ဘယ်လ်ဂျီယမ် ဖရန့်"
MOP,မကာအိုပါတားကား
MGA,"မလာဂစ်စီ အရီရရီ ငွေကြေး"
MYR,"မလေးရှား ရင်းဂစ်"
MKD,မာစီဒိုးနီးယားဒီနာ
MWK,မာလာဝီခွါးချာ
MRO,မောရီတာနီအာအူဂီးယာ
MUR,"မော်ရေရှားစ် ရူပီ"
MVR,မော်လ်ဒိုက်ရူးဖီရာ
MZN,မိုဇန်ဘစ်မက်တီခယ်လ်
MAD,"မိုရိုကို ဒရမ်"
MXN,"မက္ကဆီကို ပီဆို"
MDL,မောလ်ဒိုဗာလယ်အို
KPW,"မြောက်ကိုးရီးယား ဝမ်"
MMK,မြန်မာကျပ်
MNT,မွန်ဂိုးလီးယားထူးဂရခ်
YER,ယီမင်ရီအော်လ်
UAH,ယူကရိန်း
UGX,ယူဂန္ဓာသျှီလင်
EUR,ယူရို
RWF,"ရဝန်ဒါ ဖရန့်"
RUB,"ရုရှ ရူဘယ်"
RUR,"ရုရှ ရူဘယ် (၁၉၉၁–၁၉၉၈)"
RON,ရိုမေးနီယားလယ်အို
TRL,"ရှေးဟောင်းတူရကီ လိုင်ရာ"
LAK,လာအိုခိပ်
LYD,"လီဗျာ ဒီနာ"
LBP,"လက်ဘနွန် ပေါင်"
LRD,"လိုင်ဘေးရီးယား ဒေါ်လာ"
LTL,လစ်သူယေးနီးယားလီတားစ်
LVL,လတ်ဗီးယားလတ်
LKR,"သီရိလင်္ကာ ရူပီး"
HTG,ဟေတီဂူးအော်ဒ်
HKD,"ဟောင်ကောင် ဒေါ်လာ"
HUF,ဟန်ဂေရီယံဖော်ရင့်တ်
HNL,"ဟွန်ဒူးရပ်စ် လန်းပီးရာ"
AZN,အဇာဘိုင်ဂျန်မာနတ်
USD,"အမေရိကန် ဒေါ်လာ"
USS,"အမေရိကန် ဒေါ်လာ (တနေ့တည်း)"
USN,"အမေရိကန် ဒေါ်လာ (နောက်နေ့)"
AWG,"အရူဘန် ဂင်းဒါး"
XCD,အရှေ့ကာရီဘီယံဒေါ်လာ
ARS,"အာဂျင်တီးနား ပီဆို"
ARP,"အာဂျင်တီးနား ပီဆို (၁၉၈၃–၁၉၈၅)"
AFN,အာဖဂန်အာဖဂါနီ
AMD,အာမေးနီးယားဒရမ်း
AED,အာရပ်ဒူဟမ်း
EGP,"အီဂျစ် ပေါင်"
ERN,အီရီတရီအာနာ့ခ်ဖာ
IRR,အီရန်ရီအော်လ်
IQD,အီရပ်ဒီနား
ETB,အီသီယိုးပီးယားဘီးယာ
UZS,ဥဘက်ကစ္စတန်ဆော်မ်
UYU,ဥရုဂွေးပီဆို
DZD,"အဲလ်ဂျီရီယန် ဒီနာ"
AUD,"ဩစတြေးလျ ဒေါ်လာ"
OMR,အိုမန်ရီအော်လ်
ISK,"အိုက်စလန် ခရိုဏာ"
AOA,"အင်ဂိုလာ ကန်ဇာ"
IDR,"အင်ဒိုနီးရှား ရူပီးယား"
XOF,အိုင်ဗရီးကိုးစ်ဖရန့်
ILP,"အစ္စရေး ပေါင်"
ILS,အစ္စရေးရှဲကလ်အသစ်
INR,"အိန္ဒိယ ရူပီး"
ALL,အယ်လ်ဘီးနီးယားလီခ်
AFA,"Afghan Afghani (1927–2002)"
ALK,"Albanian Lek (1946–1965)"
ADP,"Andorran Peseta"
AOK,"Angolan Kwanza (1977–1991)"
AON,"Angolan New Kwanza (1990–2000)"
AOR,"Angolan Readjusted Kwanza (1995–1999)"
ARA,"Argentine Austral"
ARM,"Argentine Peso (1881–1970)"
ARL,"Argentine Peso Ley (1970–1983)"
ATS,"Austrian Schilling"
AZM,"Azerbaijani Manat (1993–2006)"
BEC,"Belgian Franc (convertible)"
BEL,"Belgian Franc (financial)"
BOL,"Bolivian Boliviano (1863–1963)"
BOV,"Bolivian Mvdol"
BAD,"Bosnia-Herzegovina Dinar (1992–1994)"
BAN,"Bosnia-Herzegovina New Dinar (1994–1997)"
BRC,"Brazilian Cruzado (1986–1989)"
BRZ,"Brazilian Cruzeiro (1942–1967)"
BRE,"Brazilian Cruzeiro (1990–1993)"
BRR,"Brazilian Cruzeiro (1993–1994)"
BRN,"Brazilian New Cruzado (1989–1990)"
BRB,"Brazilian New Cruzeiro (1967–1986)"
BGL,"Bulgarian Hard Lev"
BGO,"Bulgarian Lev (1879–1952)"
BGM,"Bulgarian Socialist Lev"
CLE,"Chilean Escudo"
CLF,"Chilean Unit of Account (UF)"
CNX,"Chinese People’s Bank Dollar"
COU,"Colombian Real Value Unit"
HRD,"Croatian Dinar"
CSK,"Czechoslovak Hard Koruna"
NLG,"Dutch Guilder"
DDM,"East German Mark"
ECS,"Ecuadorian Sucre"
ECV,"Ecuadorian Unit of Constant Value"
GQE,"Equatorial Guinean Ekwele"
EEK,"Estonian Kroon"
XEU,"European Currency Unit"
FIM,"Finnish Markka"
XFO,"French Gold Franc"
XFU,"French UIC-Franc"
GEK,"Georgian Kupon Larit"
GHC,"Ghanaian Cedi (1979–2007)"
GRD,"Greek Drachma"
GWP,"Guinea-Bissau Peso"
GNS,"Guinean Syli"
ISJ,"Icelandic Króna (1918–1981)"
IEP,"Irish Pound"
ILR,"Israeli Sheqel (1980–1985)"
ITL,"Italian Lira"
LVR,"Latvian Ruble"
LSL,"Lesotho Loti"
LTT,"Lithuanian Talonas"
LUL,"Luxembourg Financial Franc"
LUC,"Luxembourgian Convertible Franc"
LUF,"Luxembourgian Franc"
MKN,"Macedonian Denar (1992–1993)"
MGF,"Malagasy Franc"
MVP,"Maldivian Rupee (1947–1981)"
MLF,"Malian Franc"
MTL,"Maltese Lira"
MTP,"Maltese Pound"
MXV,"Mexican Investment Unit"
MXP,"Mexican Silver Peso (1861–1992)"
MDC,"Moldovan Cupon"
MCF,"Monegasque Franc"
MAF,"Moroccan Franc"
MZE,"Mozambican Escudo"
MZM,"Mozambican Metical (1980–2006)"
NIC,"Nicaraguan Córdoba (1988–1991)"
PEI,"Peruvian Inti"
PES,"Peruvian Sol (1863–1965)"
PLZ,"Polish Zloty (1950–1995)"
PTE,"Portuguese Escudo"
GWE,"Portuguese Guinea Escudo"
RHD,"Rhodesian Dollar"
XRE,"RINET Funds"
ROL,"Romanian Leu (1952–2006)"
SVC,"Salvadoran Colón"
CSD,"Serbian Dinar (2002–2006)"
SKK,"Slovak Koruna"
SIT,"Slovenian Tolar"
ZAL,"South African Rand (financial)"
KRH,"South Korean Hwan (1953–1962)"
KRO,"South Korean Won (1945–1953)"
ESA,"Spanish Peseta (A account)"
ESB,"Spanish Peseta (convertible account)"
SDD,"Sudanese Dinar (1992–2007)"
SRG,"Surinamese Guilder"
TJR,"Tajikistani Ruble"
TPE,"Timorese Escudo"
TMM,"Turkmenistani Manat (1993–2009)"
UGS,"Ugandan Shilling (1966–1987)"
UAK,"Ukrainian Karbovanets"
UYP,"Uruguayan Peso (1975–1993)"
UYI,"Uruguayan Peso (Indexed Units)"
VEB,"Venezuelan Bolívar (1871–2008)"
VNN,"Vietnamese Dong (1978–1985)"
CHE,"WIR Euro"
CHW,"WIR Franc"
XPF,XPFဖရန့်
YDD,"Yemeni Dinar"
YUN,"Yugoslavian Convertible Dinar (1990–1992)"
YUD,"Yugoslavian Hard Dinar (1966–1990)"
YUM,"Yugoslavian New Dinar (1994–2002)"
YUR,"Yugoslavian Reformed Dinar (1992–1993)"
ZRN,"Zairean New Zaire (1993–1998)"
ZRZ,"Zairean Zaire (1971–1993)"
ZMK,"Zambian Kwacha (1968–2012)"
ZWR,"Zimbabwean Dollar (2008)"
