id,value
AFN,"afganský afgání"
AFA,"Afghan Afghani (1927–2002)"
ALK,"Albanian Lek (1946–1965)"
ALL,"albánsky lek"
DZD,"alžírsky dinár"
USD,"americký dolár"
ADP,"Andorská peseta"
AOA,"angolská kwanza"
AOK,"Angolská kwanza (1977–1990)"
AOR,"Angolská kwanza Reajustado (1995–1999)"
AON,"Angolská nová kwanza (1990–2000)"
ANG,"antilský gulden"
ARM,"Argentine Peso (1881–1970)"
ARL,"Argentine Peso Ley (1970–1983)"
ARS,"argentínske peso"
ARP,"Argentinské peso (1983–1985)"
ARA,"Argentinský austral"
AMD,"arménsky dram"
AWG,"arubský gulden"
AUD,"austrálsky dolár"
AZN,"azerbajdžanský manat"
AZM,"Azerbajdžanský manat (1993–2006)"
BSD,"bahamský dolár"
BHD,"bahrajnský dinár"
BDT,"bangladéšska taka"
BBD,"barbadoský dolár"
BEF,"Belgický frank"
BEL,"Belgický frank (finančný)"
BEC,"Belgický frank (konvertibilný)"
BZD,"belizský dolár"
BMD,"bermudský dolár"
BTN,"bhutánsky ngultrum"
BYB,"Bieloruský nový rubeľ (1994–1999)"
BYR,"bieloruský rubeľ"
BOL,"Bolivian Boliviano (1863–1963)"
BOB,"bolívijské boliviano"
BRC,"Bolivíjske cruzado"
BRE,"Bolivíjske cruzeiro (1990–1993)"
BRB,"Bolivíjske Cruzeiro Novo (1967–1986)"
BOV,"Bolivíjske mvdol"
BOP,"Bolivíjske peso"
BAN,"Bosnia-Herzegovina New Dinar (1994–1997)"
BAD,"Bosnianský dinár"
BWP,"botswanská pula"
BRZ,"Brazilian Cruzeiro (1942–1967)"
BRN,"Brazílske Cruzado Novo"
BRR,"Brazílske cruzeiro"
BRL,"brazílsky real"
GBP,"britská libra"
BND,"brunejský dolár"
BGO,"Bulgarian Lev (1879–1952)"
BGM,"Bulgarian Socialist Lev"
BGN,"bulharský lev"
BGL,"Bulharský leva"
BUK,"Burmese Kyat"
BIF,"burundský frank"
XPF,"CFP frank"
COU,"Colombian Real Value Unit"
CYP,"Cypruská libra"
CZK,"česká koruna"
CSK,"Československá koruna"
CLP,"čilské peso"
CLF,"Čílske Unidades de Fomento"
CNY,"čínsky jüan"
DKK,"dánska koruna"
DOP,"dominikánske peso"
DJF,"džibutský frank"
EGP,"egyptská libra"
ECS,"Ekuadorský sucre"
ECV,"Ekuadorský Unidad de Valor Constante (UVC)"
ERN,"eritrejská nakfa"
EEK,"Estónska kroon"
ETB,"etiópsky birr"
EUR,euro
XEU,"European Currency Unit"
FKP,"falklandská libra"
FJD,"fidžijský dolár"
PHP,"filipínske peso"
FIM,"Finská marka"
FRF,"Francúzsky frank"
XFU,"Francúzsky UIC-frank"
XFO,"Francúzsky zlatý frank"
GMD,"gambijské dalasi"
GHS,"ghanské cedi"
GHC,"Ghanský cedi (1979–2007)"
GIP,"gibraltárska libra"
GRD,"Grécka drachma"
GEL,"gruzínske lari"
GEK,"Gruzínsky Kupon Larit"
GTQ,"guatemalský quetzal"
GWP,"Guinejsko-bissauské peso"
GNF,"guinejský frank"
GNS,"Guinejský syli"
GYD,"guyanský dolár"
HTG,"haitské gourde"
HNL,"honduraská lempira"
HKD,"hongkonský dolár"
CLE,"Chilean Escudo"
CNX,"Chinese People’s Bank Dollar"
HRK,"chorvátska kuna"
HRD,"Chorvátsky dinár"
ISJ,"Icelandic Króna (1918–1981)"
INR,"indická rupia"
IDR,"indonézska rupia"
IQD,"iracký dinár"
IRR,"iránsky rial"
IEP,"Írska libra"
ISK,"islandská koruna"
ILR,"Israeli Sheqel (1980–1985)"
ILP,"Izraelská libra"
ILS,"izraelský šekel"
JMD,"jamajský dolár"
JPY,"japonský jen"
YDD,"Jemenský dinár"
YER,"jemenský rial"
JOD,"jordánsky dinár"
ZAR,"juhoafrický rand"
ZAL,"Juhoafrický rand (financial)"
KRW,"juhokórejský won"
YUN,"Juhoslávsky dinár"
YUD,"Juhoslávsky dinár [YUD]"
YUM,"Juhoslávsky Noviy dinár"
SSP,"juhosudánska libra"
KYD,"kajmanský dolár"
KHR,"kambodžský riel"
CAD,"kanadský dolár"
CVE,"kapverdské escudo"
QAR,"katarský rial"
KZT,"kazašské tenge"
KES,"kenský šiling"
KGS,"kirgizský som"
COP,"kolumbijské peso"
KMF,"komorský frank"
BAM,"konvertibilná marka"
CDF,"konžský frank"
CRC,"kostarický colón"
CUC,"kubánske konvertibilné peso"
CUP,"kubánske peso"
KWD,"kuvajtský dinár"
LAK,"laoský kip"
LSL,"Lesothský loti"
LBP,"libanonská libra"
LRD,"libérijský dolár"
LYD,"líbyjský dinár"
LTT,"Litevský talonas"
LTL,"litovský litas"
LVL,"Lotyšský lat"
LVR,"Lotyšský rubeľ"
LUL,"Luxembourg Financial Franc"
LUC,"Luxembourgian Convertible Franc"
LUF,"Luxemburský frank"
MOP,"macajská pataca"
MKN,"Macedonian Denar (1992–1993)"
MKD,"macedónsky denár"
MGF,"Madagaskarský frank"
HUF,"maďarský forint"
MYR,"malajzijský ringgit"
MWK,"malawijská kwacha"
MVP,"Maldivian Rupee (1947–1981)"
MVR,"maldivská rupia"
MGA,"malgašský ariary"
MLF,"Malský frank"
MTP,"Maltská libra"
MTL,"Maltská lira"
MAD,"marocký dirham"
MAF,"Marocký frank"
MUR,"maurícijská rupia"
MRO,"mauritánska ukija"
MXN,"mexické peso"
MXP,"Mexické striborné peso (1861–1992)"
MXV,"Mexické Unidad de Inversion (UDI)"
MMK,"mjanmarský kyat"
MDL,"moldavský lei"
MDC,"Moldovan Cupon"
MCF,"Monegasque Franc"
MNT,"mongolský tugrik"
MZE,"Mozambické escudo"
MZN,"mozambický metical"
MZM,"Mozambický metical (1980–2006)"
NAD,"namíbijský dolár"
DEM,"Nemecká marka"
NPR,"nepálska rupia"
NGN,"nigérijská naira"
NIO,"nikaragujská córdoba"
NIC,"Nikaragujská Cordoba (1988–1991)"
NLG,"Nizozemský guilder"
NOK,"nórska koruna"
NZD,"novozélandský dolár"
TWD,"nový taiwanský dolár"
OMR,"ománsky rial"
PKR,"pakistanská rupia"
PAB,"panamská balboa"
PGK,"papuánska kina"
PYG,"paraguajské guaraní"
PEN,"peruánsky nový sol"
PEI,"Peruvský inti"
PES,"Peruvský sol"
PLN,"poľský zlotý"
PLZ,"Polský zloty (1950–1995)"
GWE,"Portugalská Guinea eskudo"
PTE,"Portugalské eskudo"
ATS,"Rakúsky šiling"
RHD,"Rhodesian Dollar"
XRE,"RINET Funds"
GQE,"Rovníková Guinea Ekwele Guineana"
RON,"rumunský lei"
ROL,"Rumunský leu (1952–2006)"
RUB,"ruský rubeľ"
RUR,"Ruský rubeľ (1991–1998)"
RWF,"rwandský frank"
AED,"SAE dirham"
SVC,"Salvádorský colón"
WST,"samojská tala"
SAR,"saudskoarabský rial"
CSD,"Serbian Dinar (2002–2006)"
KPW,"severokórejský won"
SCR,"seychelská rupia"
SLL,"sierraleonský leone"
SGD,"singapurský dolár"
SKK,"Slovenská koruna"
SIT,"Slovinský Tolar"
SOS,"somálsky šiling"
KRH,"South Korean Hwan (1953–1962)"
KRO,"South Korean Won (1945–1953)"
SUR,"Sovietsky rubeľ"
ESA,"Spanish Peseta (A account)"
ESB,"Spanish Peseta (convertible account)"
RSD,"srbský dinár"
LKR,"srílanská rupia"
XAF,"stredoafrický frank"
SDG,"sudánska libra"
SDP,"Sudánska libra (1957–1998)"
SDD,"Sudánsky dinár"
SRD,"surinamský dolár"
SRG,"Surinamský guilder"
SZL,"svazijské lilangeni"
SHP,"svätohelenská libra"
STD,"svätotomášska dobra"
SYP,"sýrska libra"
SBD,"šalamúnsky dolár"
ESP,"Španielská peseta"
CHF,"švajčiarsky frank"
SEK,"švédska koruna"
TJS,"tadžické somoni"
TJR,"Tadžický rubeľ"
ITL,"Talianská lira"
TZS,"tanzánsky šiling"
THB,"thajský baht"
TPE,"Timorské eskudo"
TOP,"tongská paʻanga"
TTD,"trinidadsko-tobažský dolár"
TND,"tuniský dinár"
TRY,"turecká líra"
TRL,"Turecká lira (1922–2005)"
TMT,"turkménsky manat"
TMM,"Turkménsky manat (1993–2009)"
UGS,"Ugandan šiling (1966–1987)"
UGX,"ugandský šiling"
UAK,"Ukrainský karbovanetz"
UAH,"ukrajinská hrivna"
UYU,"uruguajské peso"
UYP,"Uruguajské peso (1975–1993)"
UYI,"Uruguayan Peso (Indexed Units)"
USN,"US dolár (Next day)"
USS,"US dolár (Same day)"
UZS,"uzbecký sum"
VUV,"vanuatské vatu"
VEF,"venezuelský bolívar"
VEB,"Venezuelský bolívar (1871–2008)"
VNN,"Vietnamese Dong (1978–1985)"
VND,"vietnamský dong"
XCD,"východokaribský dolár"
DDM,"Východonemecká marka"
CHE,"WIR Euro"
CHW,"WIR Franc"
YUR,"Yugoslavian Reformed Dinar (1992–1993)"
ZRN,"Zairský nový zaire"
ZRZ,"Zairský Zaire"
ZMW,"zambijská kwacha"
ZMK,"Zambijská kwacha (1968–2012)"
XOF,"západoafrický frank"
ZWD,"Zimbabwiansky dolár (1980–2008)"
ZWR,"Zimbabwiansky dolár (2008)"
ZWL,"Zimbabwiansky dolár (2009)"
