id,value
AED,AED
AFA,"Afghan Afghani (1927–2002)"
ALL,"Alban leki"
ALK,"Albanian Lek (1946–1965)"
AMD,AMD
ADP,"Andorran Peseta"
AOK,"Angolan Kwanza (1977–1991)"
AON,"Angolan New Kwanza (1990–2000)"
AOR,"Angolan Readjusted Kwanza (1995–1999)"
AOA,AOA
USD,"AQSH dollari"
ARS,"Argentina pesosi"
ARA,"Argentine Austral"
ARM,"Argentine Peso (1881–1970)"
ARP,"Argentine Peso (1983–1985)"
ARL,"Argentine Peso Ley (1970–1983)"
AWG,"Aruba florini"
ATS,"Austrian Schilling"
AUD,"Avstraliya dollari"
AZM,"Azerbaijani Manat (1993–2006)"
AZN,AZN
BSD,"Bagama dollari"
BBD,"Barbados dollari"
BDT,BDT
BYR,"Belarus rubli"
BYB,"Belarusian New Ruble (1994–1999)"
BEF,"Belgian Franc"
BEC,"Belgian Franc (convertible)"
BEL,"Belgian Franc (financial)"
BZD,"Beliz dollari"
BMD,"Bermuda dollari"
BHD,BHD
BIF,BIF
BND,BND
BGN,"Bolgariya levi"
BOL,"Bolivian Boliviano (1863–1963)"
BOV,"Bolivian Mvdol"
BOP,"Bolivian Peso"
BOB,"Boliviya bolivyani"
BAD,"Bosnia-Herzegovina Dinar (1992–1994)"
BAN,"Bosnia-Herzegovina New Dinar (1994–1997)"
BAM,"Bosniya va Gertsogovina ayriboshlash markasi"
BRL,"Brazil reali"
BRC,"Brazilian Cruzado (1986–1989)"
BRZ,"Brazilian Cruzeiro (1942–1967)"
BRE,"Brazilian Cruzeiro (1990–1993)"
BRR,"Brazilian Cruzeiro (1993–1994)"
BRN,"Brazilian New Cruzado (1989–1990)"
BRB,"Brazilian New Cruzeiro (1967–1986)"
BTN,BTN
BGL,"Bulgarian Hard Lev"
BGO,"Bulgarian Lev (1879–1952)"
BGM,"Bulgarian Socialist Lev"
BUK,"Burmese Kyat"
BWP,BWP
CDF,CDF
CZK,"Chex kronasi"
CLE,"Chilean Escudo"
CLF,"Chilean Unit of Account (UF)"
CLP,"Chili pesosi"
CNX,"Chinese People’s Bank Dollar"
COU,"Colombian Real Value Unit"
HRD,"Croatian Dinar"
CVE,CVE
CYP,"Cypriot Pound"
CSK,"Czechoslovak Hard Koruna"
DKK,"Daniya kronasi"
DJF,DJF
DOP,"Dominikan pesosi"
NLG,"Dutch Guilder"
DDM,"East German Mark"
ECS,"Ecuadorian Sucre"
ECV,"Ecuadorian Unit of Constant Value"
