id,value
CNY,人民币
GWP,几内亚比绍比索
GNS,几内亚西里
GNF,几内亚法郎
YER,也门里亚尔
YDD,也门第纳尔
TRY,土耳其里拉
TRL,"土耳其里拉 (1922–2005)"
TMT,土库曼斯坦马纳特
TMM,"土库曼斯坦马纳特 (1993–2009)"
MVR,马尔代夫卢菲亚
MTL,马耳他里拉
MTP,马耳他镑
MYR,马来西亚林吉特
MGF,马达加斯加法郎
MGA,马达加斯加阿里亚里
MLF,马里法郎
MKD,马其顿第纳尔
MKN,"马其顿第纳尔 (1992–1993)"
MWK,马拉维克瓦查
BTN,不丹努尔特鲁姆
XAF,中非金融合作法郎
DKK,丹麦克朗
UGX,乌干达先令
UGS,"乌干达先令 (1966–1987)"
UAK,乌克兰币
UAH,乌克兰格里夫纳
UYU,乌拉圭比索
UYP,"乌拉圭比索 (1975–1993)"
UYI,乌拉圭比索（索引单位）
UZS,乌兹别克斯坦苏姆
GMD,冈比亚达拉西
ECV,"厄瓜多尔 (UVC)"
ECS,厄瓜多尔苏克雷
ERN,厄立特里亚纳克法
XPF,太平洋法郎
BBD,巴巴多斯元
PGK,巴布亚新几内亚基那
BRC,"巴西克鲁扎多 (1986–1989)"
BRZ,"巴西克鲁塞罗 (1942–1967)"
BRE,"巴西克鲁塞罗 (1990–1993)"
BRR,"巴西克鲁塞罗 (1993–1994)"
BRN,"巴西新克鲁扎多 (1989–1990)"
BRB,"巴西新克鲁赛罗 (1967–1986)"
BRL,巴西雷亚尔
PYG,巴拉圭瓜拉尼
BHD,巴林第纳尔
BSD,巴哈马元
PAB,巴拿马巴波亚
PKR,巴基斯坦卢比
KYD,开曼元
ZRZ,"扎伊尔 (1971–1993)"
BND,文莱元
JPY,日元
BEF,比利时法郎
BEC,比利时法郎（可兑换）
BEL,比利时法郎（金融）
MUR,毛里求斯卢比
MRO,毛里塔尼亚乌吉亚
JMD,牙买加元
XCD,东加勒比元
DDM,东德奥斯特马克
ILR,以色列谢克尔(1980–1985)
ILS,以色列新谢克尔
ILP,以色列镑
GHS,加纳塞地
GHC,加纳塞第
CAD,加拿大元
QAR,卡塔尔里亚尔
RWF,卢旺达法郎
LUC,卢森堡可兑换法郎
LUF,卢森堡法郎
LUL,卢森堡金融法郎
CUP,古巴比索
CUC,古巴可兑换比索
STD,圣多美和普林西比多布拉
SHP,圣赫勒拿群岛磅
NGN,尼日利亚奈拉
NIO,尼加拉瓜金科多巴
NIC,"尼加拉瓜科多巴 (1988–1991)"
NPR,尼泊尔卢比
BIF,布隆迪法郎
ROL,旧罗马尼亚列伊
SDP,旧苏丹镑
MZM,旧莫桑比克美提卡
CSD,旧塞尔维亚第纳尔
VUV,瓦努阿图瓦图
BYR,白俄罗斯卢布
BYB,"白俄罗斯新卢布 (1994–1999)"
LTL,立陶宛立特
LTT,立陶宛塔咯呐司
GEK,乔治亚库蓬拉瑞特
AMD,亚美尼亚德拉姆
IQD,伊拉克第纳尔
IRR,伊朗里亚尔
ISK,冰岛克朗
ISJ,冰岛克朗(1918–1981)
CDF,刚果法郎
HUF,匈牙利福林
INR,印度卢比
IDR,印度尼西亚盾
GTQ,危地马拉格查尔
KGS,吉尔吉斯斯坦索姆
DJF,吉布提法郎
GYD,圭亚那元
DOP,多米尼加比索
AOR,"安哥拉重新调整宽扎 (1995–1999)"
AOA,安哥拉宽扎
AOK,"安哥拉宽扎 (1977–1990)"
AON,"安哥拉新宽扎 (1990–2000)"
ADP,安道尔比塞塔
TOP,汤加潘加
BMD,百慕大元
JOD,约旦第纳尔
LAK,老挝基普
ESP,西班牙比塞塔
ESB,西班牙比塞塔（兑换帐户）
ESA,"西班牙比塞塔（帐户 A）"
BZD,伯利兹元
CVE,佛得角埃斯库多
HRK,克罗地亚库纳
HRD,克罗地亚第纳尔
LYD,利比亚第纳尔
LRD,利比里亚元
GRD,希腊德拉克马
SAR,沙特里亚尔
NAD,纳米比亚元
GQE,赤道几内亚埃奎勒
TZS,坦桑尼亚先令
VEF,委内瑞拉玻利瓦尔
VEB,"委内瑞拉玻利瓦尔 (1871–2008)"
BDT,孟加拉塔卡
SBD,所罗门群岛元
LVR,拉脱维亚卢布
LVL,拉脱维亚拉特
EUR,欧元
CHE,"欧元 (WIR)"
XEU,欧洲货币单位
FRF,法国法郎
XFU,"法国法郎 (UIC)"
XFO,法国金法郎
CHW,"法郎 (WIR)"
BAD,"波士尼亚-赫塞哥维纳第纳尔 (1992–1994)"
BAN,"波士尼亚-赫塞哥维纳新第纳尔 (1994–1997)"
PLN,波兰兹罗提
